game_id,accidental_trajectories,benign_trajectories,instrumental_trajectories,malicious_trajectories,benign_trajectories_normalized,accidental_trajectories_normalized,instrumental_trajectories_normalized,malicious_trajectories_normalized
avatar-of-the-wolf,14.0,25.0,0.0,2.0,0.6097560975609756,0.34146341463414637,0.0,0.04878048780487805
battlemage,345.0,922.0,364.0,112.0,0.5289730349971313,0.19793459552495696,0.20883534136546184,0.0642570281124498
cliffhanger,12.0,45.0,2.0,0.0,0.7627118644067796,0.2033898305084746,0.03389830508474576,0.0
death-collector,46.0,60.0,0.0,6.0,0.5357142857142857,0.4107142857142857,0.0,0.05357142857142857
fate-of-the-storm-gods,68.0,68.0,0.0,0.0,0.5,0.5,0.0,0.0
hero-of-kendrickstone,32.0,194.0,1.0,9.0,0.8220338983050848,0.13559322033898305,0.00423728813559322,0.038135593220338986
hero-project-open-season,14.0,240.0,31.0,5.0,0.8275862068965517,0.04827586206896552,0.10689655172413794,0.017241379310344827
hero-project-redemption-season,7.0,46.0,38.0,1.0,0.5,0.07608695652173914,0.41304347826086957,0.010869565217391304
heroes-of-myth,0.0,0.0,292.0,50.0,0.0,0.0,0.8538011695906432,0.14619883040935672
hollywood-visionary,93.0,458.0,39.0,2.0,0.7736486486486487,0.1570945945945946,0.06587837837837837,0.0033783783783783786
i-cyborg,39.0,29.0,287.0,227.0,0.04982817869415808,0.06701030927835051,0.49312714776632305,0.3900343642611684
kidnapped,2.0,13.0,21.0,4.0,0.325,0.05,0.525,0.1
kung-fu,6.0,47.0,0.0,0.0,0.8867924528301887,0.11320754716981132,0.0,0.0
luminous-underground,0.0,2.0,38.0,3.0,0.046511627906976744,0.0,0.8837209302325582,0.06976744186046512
metahuman-inc,5.0,26.0,1.0,0.0,0.8125,0.15625,0.03125,0.0
midsummer-nights-choice,9.0,6.0,56.0,7.0,0.07692307692307693,0.11538461538461539,0.717948717948718,0.08974358974358974
mysteries-of-baroque,10.0,32.0,5.0,7.0,0.5925925925925926,0.18518518518518517,0.09259259259259259,0.12962962962962962
pendragon-rising,64.0,311.0,79.0,16.0,0.6617021276595745,0.13617021276595745,0.16808510638297872,0.03404255319148936
ratings-war,3.0,10.0,17.0,5.0,0.2857142857142857,0.08571428571428572,0.4857142857142857,0.14285714285714285
sea-eternal,3.0,256.0,5.0,0.0,0.9696969696969697,0.011363636363636364,0.01893939393939394,0.0
seventh-sea-a-pirates-pact,2.0,2.0,39.0,56.0,0.020202020202020204,0.020202020202020204,0.3939393939393939,0.5656565656565656
slammed,80.0,128.0,194.0,114.0,0.24806201550387597,0.15503875968992248,0.375968992248062,0.22093023255813954
t-rex-time-machine,1.0,101.0,27.0,5.0,0.753731343283582,0.007462686567164179,0.20149253731343283,0.03731343283582089
tower-behind-the-moon,2.0,8.0,151.0,32.0,0.04145077720207254,0.010362694300518135,0.7823834196891192,0.16580310880829016
trials-of-the-thief-taker,78.0,160.0,2.0,4.0,0.6557377049180327,0.319672131147541,0.00819672131147541,0.01639344262295082
undercover-agent,12.0,41.0,57.0,16.0,0.3253968253968254,0.09523809523809523,0.4523809523809524,0.12698412698412698
vampire-the-masquerade_parliament-of-knives,576.0,881.0,0.0,6.0,0.6021872863978127,0.39371155160628846,0.0,0.004101161995898838
versus-deathscapes,9.0,137.0,31.0,3.0,0.7611111111111111,0.05,0.17222222222222222,0.016666666666666666
versus-the-lost-ones,16.0,110.0,34.0,2.0,0.6790123456790124,0.09876543209876543,0.20987654320987653,0.012345679012345678
werewolves-haven-rising,6.0,50.0,69.0,22.0,0.3401360544217687,0.04081632653061224,0.46938775510204084,0.14965986394557823
